baseClass,equivalentClass
UMLS:C0346251,DOID:4242
UMLS:C0154676,DOID:0050841
UMLS:C0008441,DOID:2649
UMLS:C1263895,DOID:2817
UMLS:C0021828,DOID:10486
UMLS:C0035460,DOID:4730
UMLS:C1332879,DOID:6451
UMLS:C0034087,DOID:5749
UMLS:C0153644,DOID:2815
UMLS:C0017675,DOID:1456
UMLS:C1333492,DOID:4288
UMLS:C0154070,DOID:8802
UMLS:C1335165,DOID:5697
UMLS:C0345906,DOID:270
UMLS:C0152176,DOID:10869
UMLS:C0027881,DOID:8117
UMLS:C1334034,DOID:505
UMLS:C0015423,DOID:530
UMLS:C0018816,DOID:1681
UMLS:C0029872,DOID:9720
UMLS:C0013568,DOID:11907
UMLS:C0149640,DOID:1519
UMLS:C0155579,DOID:5748
UMLS:C0154870,DOID:1979
UMLS:C0267917,DOID:14271
UMLS:C0029001,DOID:11678
UMLS:C0041323,DOID:402
UMLS:C0152944,DOID:13226
UMLS:C1519843,DOID:7281
UMLS:C1176475,DOID:3007
UMLS:C1333504,DOID:8105
UMLS:C0699741,DOID:9883
UMLS:C0016788,DOID:14500
UMLS:C1336527,DOID:7371
UMLS:C0007282,DOID:13001
UMLS:C0003462,DOID:3128
UMLS:C0221406,DOID:3946
UMLS:C0009377,DOID:3876
UMLS:C1516862,DOID:4520
UMLS:C1334705,DOID:5178
UMLS:C0034050,DOID:12120
UMLS:C0041321,DOID:9861
UMLS:C0155441,DOID:14248
UMLS:C0349515,DOID:10054
UMLS:C0155213,DOID:11669
UMLS:C1260327,DOID:7146
UMLS:C0334582,DOID:6726
UMLS:C0439857,DOID:9973
UMLS:C0000744,DOID:1386
UMLS:C1336889,DOID:8109
UMLS:C0020225,DOID:4626
UMLS:C0041971,DOID:730
UMLS:C0017665,DOID:10976
UMLS:C0035086,DOID:13068
UMLS:C0019114,DOID:12119
UMLS:C1333871,DOID:5258
UMLS:C0023484,DOID:9513
UMLS:C0279608,DOID:5189
UMLS:C0013902,DOID:2373
UMLS:C0005411,DOID:13608
UMLS:C0017758,DOID:2862
UMLS:C0855052,DOID:3357
UMLS:C0153191,DOID:13690
UMLS:C1335380,DOID:5137
UMLS:C0345979,DOID:7643
UMLS:C1335313,DOID:7718
UMLS:C0155110,DOID:11032
UMLS:C0085132,DOID:12803
UMLS:C0279651,DOID:3500
UMLS:C0153279,DOID:10234
UMLS:C1334209,DOID:6997
UMLS:C0158304,DOID:14192
UMLS:C0024164,DOID:1998
UMLS:C1261469,DOID:783
UMLS:C0017601,DOID:1686
UMLS:C0021359,DOID:5223
UMLS:C0014877,DOID:9840
UMLS:C0024081,DOID:4558
UMLS:C0334596,DOID:4790
UMLS:C0010314,DOID:12580
UMLS:C0020445,DOID:13810
UMLS:C0334392,DOID:5309
UMLS:C0022656,DOID:2973
UMLS:C1335299,DOID:5637
UMLS:C0376175,DOID:12506
UMLS:C1335419,DOID:6856
UMLS:C0152068,DOID:1495
UMLS:C1275254,DOID:1906
UMLS:C0003152,DOID:3933
UMLS:C0155189,DOID:13112
UMLS:C0036992,DOID:10605
UMLS:C0154746,DOID:1844
UMLS:C1512935,DOID:8068
UMLS:C0265338,DOID:1925
UMLS:C0022893,DOID:1468
UMLS:C0033845,DOID:11459
UMLS:C0496854,DOID:9132
UMLS:C0030442,DOID:681
UMLS:C0023743,DOID:4023
UMLS:C0346041,DOID:2438
UMLS:C0038041,DOID:11104
UMLS:C1527249,DOID:9256
UMLS:C0043008,DOID:9258
UMLS:C0375489,DOID:10123
UMLS:C0154861,DOID:14253
UMLS:C0027030,DOID:11080
UMLS:C0027877,DOID:14503
UMLS:C0029455,DOID:11991
UMLS:C0154874,DOID:10176
UMLS:C0015656,DOID:888
UMLS:C0153419,DOID:10547
UMLS:C1335512,DOID:10290
UMLS:C0279981,DOID:3520
UMLS:C0018572,DOID:10881
UMLS:C0029773,DOID:10854
UMLS:C0033375,DOID:5394
UMLS:C0085652,DOID:8553
UMLS:C0042251,DOID:121
UMLS:C0002312,DOID:1099
UMLS:C0796605,DOID:5509
